Run,Argument_Index,Ground_Truth_Score,Ground_Truth_Binary,Predicted_Label,Predicted_Binary,Error,Normalized_Error,Error_Type
1,68,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
1,70,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
1,77,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
1,78,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
1,80,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,2,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
2,3,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
2,7,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
2,10,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
2,13,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
2,18,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,23,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
2,25,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,26,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
2,29,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
2,31,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
2,33,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,34,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
2,36,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,38,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,41,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
2,43,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
2,44,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
2,46,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
2,47,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,49,2.5,0,Good,1,-2.5,0.3562231759656653,good_to_bad
2,52,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,55,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,57,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
2,60,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
2,61,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,64,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,66,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
2,67,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
2,68,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
2,70,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
2,77,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
2,78,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
2,80,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,1,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
3,2,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
3,3,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
3,7,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
3,10,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
3,11,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
3,13,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
3,23,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
3,25,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,26,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
3,27,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,29,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
3,31,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
3,33,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,34,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
3,36,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,38,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,41,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
3,43,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
3,44,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
3,47,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,49,2.5,0,Good,1,-2.5,0.3562231759656653,good_to_bad
3,52,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,55,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,56,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,57,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
3,60,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
3,61,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,63,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,64,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,66,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
3,67,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
3,68,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
3,70,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
3,77,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
3,78,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
3,80,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,1,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
4,2,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
4,3,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
4,7,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
4,10,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
4,11,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
4,13,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
4,18,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,23,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
4,25,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,27,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,29,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
4,31,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
4,33,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,34,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
4,36,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,38,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,40,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
4,43,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
4,44,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
4,46,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
4,47,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,49,2.5,0,Good,1,-2.5,0.3562231759656653,good_to_bad
4,51,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,52,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,55,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,56,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,57,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
4,60,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
4,61,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,63,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,64,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
4,66,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
4,67,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
4,68,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
4,70,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
4,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
4,80,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,0,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
5,2,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
5,3,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
5,6,2.0,0,Good,1,-3.0,0.5708154506437768,good_to_bad
5,7,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,9,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
5,10,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
5,11,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
5,13,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
5,18,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,23,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
5,25,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,27,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,29,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
5,31,3.5,1,Bad,0,2.5,0.1017964071856287,bad_to_good
5,33,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,34,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
5,36,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,38,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,40,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
5,43,4.333333333333333,1,Bad,0,3.333333333333333,0.6007984031936126,bad_to_good
5,44,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
5,46,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
5,47,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,49,2.5,0,Good,1,-2.5,0.3562231759656653,good_to_bad
5,52,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,55,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,57,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
5,60,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
5,61,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,62,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,63,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,64,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,65,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
5,66,2.333333333333333,0,Good,1,-2.666666666666667,0.4277539341917026,good_to_bad
5,67,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
5,68,3.333333333333333,1,Bad,0,2.333333333333333,0.0019960079840317165,bad_to_good
5,70,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,72,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
5,73,4.0,1,Bad,0,3.0,0.40119760479041916,bad_to_good
5,76,2.6666666666666665,0,Good,1,-2.3333333333333335,0.2846924177396281,good_to_bad
5,78,3.0,0,Good,1,-2.0,0.14163090128755368,good_to_bad
5,80,3.6666666666666665,1,Bad,0,2.6666666666666665,0.20159680638722544,bad_to_good
